session_year,bill_id,full_url
2002,H.0001,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-001.HTM
2002,H.0002,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-002.HTM
2002,H.0003,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-003.HTM
2002,H.0004,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-004.HTM
2002,H.0005,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-005.HTM
2002,H.0006,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-006.HTM
2002,H.0007,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-007.HTM
2002,H.0008,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/acts/ACT125.HTM
2002,H.0009,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-009.HTM
2002,H.0010,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-010.HTM
2002,H.0011,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-011.HTM
2002,H.0012,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-012.HTM
2002,H.0013,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-013.HTM
2002,H.0014,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/senate/H-014.HTM
2002,H.0015,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-015.HTM
2002,H.0016,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-016.HTM
2002,H.0017,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-017.HTM
2002,H.0018,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-018.HTM
2002,H.0019,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-019.HTM
2002,H.0020,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-020.HTM
2002,H.0021,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-021.HTM
2002,H.0022,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/bills/intro/H-022.HTM
2002,H.0023,http://www.leg.state.vt.us/docs/legdoc.cfm?URL=/docs/2002/acts/ACT009.HTM
